NAME,PUBLIC GALLERY NAME,LOCATION,OS TYPE,ARCHITECTURE,SECURITY TYPE,OS STATE,RESOURCE ID,LOCATION ID,KIND,RESOURCE TYPE,TYPE,
"10.7.0-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.0-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.0-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"10.7.1-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.1-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.1-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"10.7.2-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.2-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.2-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"10.7.3-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.3-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.3-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"10.7.4-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.4-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.4-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"10.7.5-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.5-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.5-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"10.7.6-x86_64 (eastus/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/10.7.6-x86_64)","GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1","East US","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/eastus/CommunityGalleries/GraphDB-02faf3ce-79ed-4676-ab69-0e422bbd9ee1/Images/10.7.6-x86_64","eastus","","microsoft.compute/locations/communitygalleries/images","Community image"
"1804gen2gpucontainerd (AustraliaCentral/AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2/1804gen2gpucontainerd)","AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2","Australia Central","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/AustraliaCentral/CommunityGalleries/AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2/Images/1804gen2gpucontainerd","australiacentral","","microsoft.compute/locations/communitygalleries/images","Community image"
"1804gen2gpucontainerd (AustraliaCentral2/AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2/1804gen2gpucontainerd)","AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2","Australia Central 2","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/AustraliaCentral2/CommunityGalleries/AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2/Images/1804gen2gpucontainerd","australiacentral2","","microsoft.compute/locations/communitygalleries/images","Community image"
"1804gen2gpucontainerd (BrazilSoutheast/AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2/1804gen2gpucontainerd)","AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2","Brazil Southeast","Linux","x64","Standard","Generalized","/providers/Microsoft.Compute/locations/BrazilSoutheast/CommunityGalleries/AKSUbuntu-38d80f77-467a-481f-a8d4-09b6d4220bd2/Images/1804gen2gpucontainerd","brazilsoutheast","","microsoft.compute/locations/communitygalleries/images","Community image"
